Région,Type,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Californie,Rouge,5,4,4,5,5,4,3,3,3,4,3,3,4,4,4,4,3,3,3,4,3,4,4,3,3,4,4,3,3,3,3
Californie,Blanc,5,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Californie - Central Coast,Rouge,5,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-
Californie - Central Coast,Blanc,5,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-
Californie - Central Valley,Rouge,5,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-
Californie - North Coast,Rouge,5,4,4,5,5,4,4,3,3,4,3,4,3,3,4,4,3,3,3,4,3,3,4,3,3,4,4,3,3,3,3
Californie - North Coast,Blanc,5,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Californie - Sierra Foothills,Rouge,5,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-
Etat de Washington,Rouge,5,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oregon,Rouge,5,4,4,4,4,3,3,3,3,4,4,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3
Oregon,Blanc,5,4,4,4,4,4,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,-,-,-,-
